month,year,total_dis,total_paid,profit,lossrate,debtincome
"2009-12-01 00:00:00",2009,8800,12485,0.04,0.2,0.3
"2010-01-01 00:00:00",2010,182150,213463,0.1,0.09,0.19
"2010-02-01 00:00:00",2010,138159,156575,0.1,0.06,0.17
"2010-03-01 00:00:00",2010,220027,262200,0.1,0.08,0.19
"2010-04-01 00:00:00",2010,138350,165245,0.1,0.08,0.18
"2010-05-01 00:00:00",2010,129820,144103,0.1,0.08,0.46
"2010-06-01 00:00:00",2010,147460,179617,0.1,0.1,0.21
"2010-07-01 00:00:00",2010,190800,217650,0.11,0.06,0.17
"2010-08-01 00:00:00",2010,200621,234868,0.12,0.1,0.2
"2010-09-01 00:00:00",2010,168800,201888,0.09,0.12,0.18
"2010-10-01 00:00:00",2010,243100,272712,0.11,0.13,0.17
"2010-11-01 00:00:00",2010,283400,311154,0.1,0.14,0.17
"2010-12-01 00:00:00",2010,237550,255090,0.11,0.11,0.36
"2011-01-01 00:00:00",2011,371050,412564,0.11,0.08,0.18
"2011-02-01 00:00:00",2011,287177,292218,0.1,0.08,0.38
"2011-03-01 00:00:00",2011,328662,368483,0.1,0.1,0.21
"2011-04-01 00:00:00",2011,373571,423026,0.11,0.11,0.18
"2011-05-01 00:00:00",2011,508794,508253,0.11,0.09,0.2
"2011-06-01 00:00:00",2011,508440,530610,0.13,0.11,0.19
"2011-07-01 00:00:00",2011,468902,512724,0.12,0.1,0.23
"2011-08-01 00:00:00",2011,553099,531015,0.12,0.1,0.22
"2011-09-01 00:00:00",2011,587813,598986,0.12,0.1,0.2
"2011-10-01 00:00:00",2011,882400,880573,0.12,0.1,0.23
"2011-11-01 00:00:00",2011,687130,693722,0.12,0.1,0.22
"2011-12-01 00:00:00",2011,813400,796138,0.11,0.1,0.26
"2012-01-01 00:00:00",2012,807740,676942,0.11,0.1,0.18
"2012-02-01 00:00:00",2012,928685,737541,0.11,0.1,0.34
"2012-03-01 00:00:00",2012,1060897,889641,0.11,0.09,0.21
"2012-04-01 00:00:00",2012,1067886,846439,0.11,0.09,0.2
"2012-05-01 00:00:00",2012,1144600,845606,0.12,0.1,0.23
"2012-06-01 00:00:00",2012,1088645,793709,0.12,0.09,0.22
"2012-07-01 00:00:00",2012,1343950,954629,0.12,0.09,0.23
"2012-08-01 00:00:00",2012,1326982,887050,0.11,0.09,0.3
"2012-09-01 00:00:00",2012,1309800,864284,0.11,0.09,0.22
"2012-10-01 00:00:00",2012,1460799,872900,0.1,0.08,0.2
"2012-11-01 00:00:00",2012,962574,553846,0.1,0.09,0.24
"2012-12-01 00:00:00",2012,735734,360255,0.1,0.08,0.34
"2013-01-01 00:00:00",2013,756345,438524,0.1,0.08,0.21
"2013-02-01 00:00:00",2013,780909,344113,0.1,0.08,0.33
"2013-03-01 00:00:00",2013,1475233,594022,0.09,0.07,0.27
"2013-04-01 00:00:00",2013,1682600,646632,0.1,0.08,0.31
"2013-05-01 00:00:00",2013,2349529,820842,0.1,0.08,0.26
"2013-06-01 00:00:00",2013,2438465,752081,0.09,0.07,0.25
"2013-07-01 00:00:00",2013,2655451,686416,0.1,0.07,0.24
"2013-08-01 00:00:00",2013,2593753,634532,0.09,0.06,0.22
"2013-09-01 00:00:00",2013,2614200,523940,0.09,0.07,0.24
"2013-10-01 00:00:00",2013,4636115,812224,0.09,0.08,0.25
"2013-11-01 00:00:00",2013,4086800,538854,0.08,0.07,0.24
"2013-12-01 00:00:00",2013,5676380,412284,0.08,0.07,0.24
"2014-01-01 00:00:00",2014,5836374,242504,0.07,0.06,0.24
"2014-02-01 00:00:00",2014,4719236,23313,0.07,0.06,0.23
"2014-03-01 00:00:00",2014,1810285,0,0.07,0.06,0.23
